t,pitch_deg,gyro_dps,base_cmd
0.616,-1.72203,-24.6391,-6
0.62,-1.82087,-24.709,-6
0.624,-1.91998,-24.7785,-6
0.628,-2.01938,-24.8477,-6
0.632,-2.11904,-24.9166,-6
0.636,-2.21898,-24.9851,-6
0.64,-2.3192,-25.0533,-6
0.644,-2.41968,-25.1212,-6
0.648,-2.52044,-25.1888,-6
0.652,-2.62146,-25.256,-6
0.656,-2.72275,-25.323,-6
0.66,-2.82431,-25.3897,-6
0.664,-2.92613,-25.4561,-6
0.668,-3.02822,-25.5223,-6
0.672,-3.13058,-25.5881,-6
0.676,-3.23319,-25.6537,-6
0.68,-3.33607,-25.7191,-6
0.684,-3.4392,-25.7842,-6
0.688,-3.5426,-25.849,-6
0.692,-3.64625,-25.9136,-6
0.696,-3.75006,-25.9515,-5.63279
0.7,-3.85382,-25.9408,-4.95422
0.704,-3.95736,-25.8829,-4.2868
0.708,-4.06047,-25.7788,-3.62293
0.712,-4.16299,-25.6296,-2.96338
0.716,-4.26473,-25.4362,-2.30866
0.72,-4.36553,-25.1997,-1.6593
0.724,-4.46522,-24.9213,-1.01582
0.728,-4.56362,-24.6019,-0.378716
0.732,-4.6606,-24.2427,0.251504
0.736,-4.75597,-23.8448,0.874358
0.74,-4.84961,-23.4094,1.48937
0.744,-4.94136,-22.9375,2.09608
0.748,-5.03108,-22.4305,2.69402
0.752,-5.11864,-21.8894,3.28276
0.756,-5.2039,-21.3155,3.86187
0.76,-5.28674,-20.7099,4.43092
0.764,-5.36704,-20.074,4.98952
0.768,-5.44467,-19.4088,5.53727
0.772,-5.51956,-18.721,6
0.776,-5.59174,-18.0442,6
0.78,-5.66125,-17.3782,6
0.784,-5.72814,-16.7228,6
0.788,-5.79245,-16.0778,6
0.792,-5.85422,-15.4432,6
0.796,-5.9135,-14.8186,6
0.8,-5.97031,-14.2039,6
0.804,-6.02471,-13.599,6
0.808,-6.07672,-13.0037,6
0.812,-6.12639,-12.4178,6
0.816,-6.17376,-11.8411,6
0.82,-6.21885,-11.2736,6
0.824,-6.26171,-10.715,6
0.828,-6.30237,-10.1652,6
0.832,-6.34087,-9.62409,6
0.836,-6.37724,-9.09146,6
0.84,-6.41151,-8.56718,6
0.844,-6.44371,-8.05112,6
0.848,-6.47388,-7.54314,6
0.852,-6.50206,-7.0431,6
0.856,-6.52826,-6.55086,6
0.86,-6.55252,-6.06629,6
0.864,-6.57488,-5.58926,6
0.868,-6.59536,-5.11964,6
0.872,-6.61399,-4.65731,6
0.876,-6.6308,-4.20214,6
0.88,-6.64581,-3.75401,6
0.884,-6.65906,-3.3128,6
0.888,-6.67058,-2.87839,6
0.892,-6.68038,-2.45066,6
0.896,-6.6885,-2.02951,6
0.9,-6.69496,-1.61482,6
0.904,-6.69978,-1.20648,6
0.908,-6.703,-0.80438,6
0.912,-6.70463,-0.408415,6
0.916,-6.70471,-0.0184805,6
0.92,-6.70325,0.365527,6
0.924,-6.70027,0.743707,6
0.928,-6.69581,1.11616,6
0.932,-6.68988,1.48299,6
0.936,-6.6825,1.84428,6
0.94,-6.6737,2.20013,6
0.944,-6.6635,2.55064,6
0.948,-6.65191,2.89589,6
0.952,-6.63897,3.23598,6
0.956,-6.62468,3.57099,6
0.96,-6.60908,3.90101,6
0.964,-6.59218,4.22613,6
0.968,-6.57399,4.54643,6
0.972,-6.55454,4.86199,6
0.976,-6.53385,5.1729,6
0.98,-6.51193,5.47923,6
0.984,-6.48881,5.78106,6
0.988,-6.46449,6.07847,6
0.992,-6.43901,6.37153,6
0.996,-6.41237,6.66032,6
1,-6.38459,6.94492,6
1.004,-6.35569,7.22538,6
1.008,-6.32568,7.5018,6
1.012,-6.29458,7.77422,6
1.016,-6.26241,8.04274,6
1.02,-6.22918,8.3074,6
1.024,-6.19491,8.56827,6
1.028,-6.15961,8.82543,6
1.032,-6.12329,9.07894,6
1.036,-6.08598,9.32885,6
1.04,-6.04767,9.57523,6
1.044,-6.0084,9.81815,6
1.048,-5.96817,10.0576,6
1.052,-5.927,10.2938,6
1.056,-5.88489,10.5267,6
1.06,-5.84186,10.7563,6
1.064,-5.79793,10.9827,6
1.068,-5.75311,11.206,6
1.072,-5.7074,11.4263,6
1.076,-5.66083,11.6435,6
1.08,-5.6134,11.8578,6
1.084,-5.56512,12.0691,6
1.088,-5.51601,12.2776,6
1.092,-5.46608,12.4833,6
1.096,-5.41533,12.6862,6
1.1,-5.36379,12.8863,6
1.104,-5.31145,13.0839,6
1.108,-5.25834,13.2787,6
1.112,-5.20445,13.471,6
1.116,-5.14981,13.6608,6
1.12,-5.09442,13.8481,6
1.124,-5.03829,14.0329,6
1.128,-4.98143,14.2153,6
1.132,-4.92384,14.3954,6
1.136,-4.86555,14.5731,6
1.14,-4.80656,14.7486,6
1.144,-4.74687,14.9218,6
1.148,-4.6865,15.0928,6
1.152,-4.62545,15.2617,6
1.156,-4.56374,15.4284,6
1.16,-4.50137,15.593,6
1.164,-4.43834,15.7556,6
1.168,-4.37468,15.9162,6
1.172,-4.31038,16.0747,6
1.176,-4.24546,16.2314,6
1.18,-4.17991,16.3861,6
1.184,-4.11376,16.5389,6
1.188,-4.047,16.6899,6
1.192,-3.97964,16.8391,6
1.196,-3.91169,16.9865,6
1.2,-3.84317,17.1321,6
1.204,-3.77406,17.276,6
1.208,-3.70439,17.4183,6
1.212,-3.63415,17.5588,6
1.216,-3.56336,17.6978,6
1.22,-3.49202,17.8351,6
1.224,-3.42014,17.9709,6
1.228,-3.34772,18.1051,6
1.232,-3.27477,18.2378,6
1.236,-3.20129,18.369,6
1.24,-3.1273,18.4987,6
1.244,-3.05279,18.627,6
1.248,-2.97777,18.7539,6
1.252,-2.90225,18.8794,6
1.256,-2.82624,19.0036,6
1.26,-2.74973,19.1264,6
1.264,-2.67274,19.2478,6
1.268,-2.59527,19.368,6
1.272,-2.51732,19.487,6
1.276,-2.4389,19.6046,6
1.28,-2.36002,19.7211,6
1.284,-2.28067,19.8363,6
1.288,-2.20087,19.9504,6
1.292,-2.12062,20.0633,6
1.296,-2.03992,20.1751,6
1.3,-1.95878,20.2857,6
1.304,-1.8772,20.3953,6
1.308,-1.79518,20.5038,6
1.312,-1.71274,20.6112,6
1.316,-1.62987,20.7175,6
1.32,-1.54657,20.8229,6
1.324,-1.46286,20.9273,6
1.328,-1.37874,21.0306,6
1.332,-1.29421,21.133,6
1.336,-1.20927,21.2345,6
1.34,-1.12393,21.335,6
1.344,-1.03819,21.4346,6
1.348,-0.95206,21.5334,6
1.352,-0.865535,21.6312,6
1.356,-0.778622,21.7282,6
1.36,-0.691325,21.8243,6
1.364,-0.603647,21.9196,6
1.368,-0.51559,22.0141,6
1.372,-0.427159,22.1077,6
1.376,-0.338357,22.2006,6
1.38,-0.249186,22.2927,6
1.384,-0.15965,22.3841,6
1.388,-0.0697507,22.4747,6
1.392,0.0205077,22.5646,6
1.396,0.111123,22.6538,6
1.4,0.202092,22.7422,6
1.404,0.293412,22.83,6
1.408,0.38508,22.9171,6
1.412,0.477094,23.0035,6
1.416,0.569451,23.0893,6
1.42,0.662149,23.1745,6
1.424,0.755185,23.259,6
1.428,0.848556,23.3429,6
1.432,0.942261,23.4262,6
1.436,1.0363,23.5089,6
1.44,1.13066,23.591,6
1.444,1.22535,23.6726,6
1.448,1.32037,23.7536,6
1.452,1.4157,23.834,6
1.456,1.51136,23.9139,6
1.46,1.60733,23.9933,6
1.464,1.70362,24.0722,6
1.468,1.80022,24.1506,6
1.472,1.89713,24.2284,6
1.476,1.99436,24.3058,6
1.48,2.09189,24.3827,6
1.484,2.18973,24.4592,6
1.488,2.28787,24.5352,6
1.492,2.38631,24.6107,6
1.496,2.48505,24.6858,6
1.5,2.58409,24.7605,6
1.504,2.68343,24.8347,6
1.508,2.78307,24.9085,6
1.512,2.883,24.982,6
1.516,2.98322,25.055,6
1.52,3.08373,25.1276,6
1.524,3.18453,25.1999,6
1.528,3.28561,25.2718,6
1.532,3.38699,25.3433,6
1.536,3.48864,25.4145,6
1.54,3.59059,25.4853,6
1.544,3.69281,25.5558,6
1.548,3.79513,25.5801,5.36325
1.552,3.89736,25.5568,4.69711
1.556,3.9993,25.4869,4.03518
1.56,4.10079,25.3715,3.37715
1.564,4.20163,25.2114,2.7236
1.568,4.30167,25.0079,2.07503
1.572,4.40071,24.7618,1.43198
1.576,4.49861,24.4744,0.794949
1.58,4.5952,24.1466,0.164438
1.584,4.69032,23.7796,-0.459063
1.588,4.78381,23.3745,-1.07508
1.592,4.87554,22.9325,-1.68313
1.596,4.96536,22.4547,-2.28277
1.6,5.05313,21.9422,-2.87355
1.604,5.13872,21.3963,-3.45503
1.608,5.22199,20.8181,-4.0268
1.612,5.30282,20.2089,-4.58843
1.616,5.3811,19.5699,-5.13953
1.62,5.45671,18.9022,-5.67973
1.624,5.5296,18.2222,-6
1.628,5.59981,17.553,-6
1.632,5.66739,16.8946,-6
1.636,5.73238,16.2466,-6
1.64,5.79481,15.6089,-6
1.644,5.85474,14.9814,-6
1.648,5.91219,14.3638,-6
1.652,5.96722,13.756,-6
1.656,6.01985,13.1579,-6
1.66,6.07013,12.5692,-6
1.664,6.11809,11.9899,-6
1.668,6.16377,11.4197,-6
1.672,6.2072,10.8585,-6
1.676,6.24842,10.3061,-6
1.68,6.28747,9.76248,-6
1.684,6.32438,9.22736,-6
1.688,6.35919,8.70064,-6
1.692,6.39192,8.18218,-6
1.696,6.4226,7.67183,-6
1.7,6.45128,7.16946,-6
1.704,6.47798,6.67493,-6
1.708,6.50273,6.18812,-6
1.712,6.52557,5.70888,-6
1.716,6.54652,5.23709,-6
1.72,6.56561,4.77262,-6
1.724,6.58287,4.31535,-6
1.728,6.59833,3.86515,-6
1.732,6.61202,3.42191,-6
1.736,6.62396,2.9855,-6
1.74,6.63418,2.55581,-6
1.744,6.64271,2.13273,-6
1.748,6.64958,1.71614,-6
1.752,6.6548,1.30593,-6
1.756,6.65841,0.901998,-6
1.76,6.66043,0.504228,-6
1.764,6.66088,0.112519,-6
1.768,6.65978,-0.273233,-6
1.772,6.65717,-0.65313,-6
1.776,6.65306,-1.02727,-6
1.78,6.64748,-1.39575,-6
1.784,6.64044,-1.75868,-6
1.788,6.63198,-2.11613,-6
1.792,6.62211,-2.46822,-6
1.796,6.61085,-2.81502,-6
1.8,6.59822,-3.15664,-6
1.804,6.58425,-3.49315,-6
1.808,6.56895,-3.82465,-6
1.812,6.55234,-4.15121,-6
1.816,6.53445,-4.47294,-6
1.82,6.51529,-4.7899,-6
1.824,6.49488,-5.10219,-6
1.828,6.47324,-5.40987,-6
1.832,6.45039,-5.71303,-6
1.836,6.42635,-6.01175,-6
1.84,6.40112,-6.3061,-6
1.844,6.37474,-6.59616,-6
1.848,6.34721,-6.882,-6
1.852,6.31855,-7.1637,-6
1.856,6.28879,-7.44131,-6
1.86,6.25793,-7.71493,-6
1.864,6.22599,-7.9846,-6
1.868,6.19299,-8.25041,-6
1.872,6.15894,-8.51241,-6
1.876,6.12386,-8.77068,-6
1.88,6.08775,-9.02527,-6
1.884,6.05065,-9.27626,-6
1.888,6.01256,-9.52369,-6
1.892,5.97348,-9.76764,-6
1.896,5.93345,-10.0082,-6
1.9,5.89247,-10.2453,-6
1.904,5.85055,-10.4792,-6
1.908,5.80771,-10.7098,-6
1.912,5.76397,-10.9372,-6
1.916,5.71932,-11.1614,-6
1.92,5.67379,-11.3826,-6
1.924,5.62739,-11.6007,-6
1.928,5.58012,-11.8159,-6
1.932,5.53201,-12.0281,-6
1.936,5.48306,-12.2374,-6
1.94,5.43329,-12.4439,-6
1.944,5.3827,-12.6477,-6
1.948,5.3313,-12.8487,-6
1.952,5.27911,-13.047,-6
1.956,5.22614,-13.2427,-6
1.96,5.1724,-13.4357,-6
1.964,5.11789,-13.6263,-6
1.968,5.06264,-13.8143,-6
1.972,5.00664,-13.9999,-6
1.976,4.9499,-14.183,-6
1.98,4.89245,-14.3638,-6
1.984,4.83428,-14.5423,-6
1.988,4.77541,-14.7184,-6
1.992,4.71584,-14.8923,-6
1.996,4.65558,-15.064,-6
2,4.59465,-15.2335,-6
2.004,4.53304,-15.4009,-6
2.008,4.47078,-15.5661,-6
2.012,4.40786,-15.7293,-6
2.016,4.3443,-15.8905,-6
2.02,4.2801,-16.0497,-6
2.024,4.21527,-16.2069,-6
2.028,4.14982,-16.3622,-6
2.032,4.08376,-16.5157,-6
2.036,4.01709,-16.6672,-6
2.04,3.94983,-16.8169,-6
2.044,3.88197,-16.9649,-6
2.048,3.81352,-17.1111,-6
2.052,3.7445,-17.2555,-6
2.056,3.67491,-17.3983,-6
2.06,3.60475,-17.5394,-6
2.064,3.53403,-17.6788,-6
2.068,3.46277,-17.8167,-6
2.072,3.39096,-17.9529,-6
2.076,3.3186,-18.0876,-6
