t,pitch_deg,gyro_dps,pitch_meas_deg,gyro_meas_dps,left_cmd_v,right_cmd_v,left_actual_v,right_actual_v,batt_v,rc_thr,rc_str,target_angle_deg,steering_cmd,lvc_active,kp_angle,ki_angle,kd_angle,kp_rate,ki_rate,kd_rate
0.000000,10.000085,0.021176,10.000085,0.182231,-6.000000,-6.000000,-0.705882,-0.705882,16.799986,0.000000,0.000000,0.000000,0.000000,0,11.990000,0.000000,0.349900,0.090000,0.180000,0.000400
0.004000,10.000480,0.098834,10.026156,0.324644,6.000000,6.000000,0.083045,0.083045,16.799978,0.000000,0.000000,0.000000,0.000000,0,11.989999,0.000000,0.349900,0.090000,0.180000,0.000400
0.008000,10.000975,0.123788,10.049610,0.373755,-6.000000,-6.000000,-0.632607,-0.632607,16.799965,0.000000,0.000000,0.000000,0.000000,0,11.989998,0.000000,0.349900,0.090000,0.180000,0.000400
0.012000,10.001387,0.102901,10.067834,0.332084,-6.000000,-6.000000,-1.264065,-1.264065,16.799947,0.000000,0.000000,0.000000,0.000000,0,11.989997,0.000000,0.349900,0.090000,0.180000,0.000400
0.016000,10.001556,0.042218,10.078786,0.209413,-6.000000,-6.000000,-1.821234,-1.821234,16.799924,0.000000,0.000000,0.000000,0.000000,0,11.989997,0.000000,0.349900,0.090000,0.180000,0.000400
0.020000,10.001344,-0.052938,10.081186,0.022209,-6.000000,-6.000000,-2.312854,-2.312854,16.799897,0.000000,0.000000,0.000000,0.000000,0,11.989997,0.000000,0.349900,0.090000,0.180000,0.000400
0.024000,10.000632,-0.177882,10.074639,-0.208293,-6.000000,-6.000000,-2.746636,-2.746636,16.799867,0.000000,0.000000,0.000000,0.000000,0,11.989998,0.000000,0.349900,0.090000,0.180000,0.000400
0.028000,9.999318,-0.328489,10.059659,-0.458991,-6.000000,-6.000000,-3.129384,-3.129384,16.799834,0.000000,0.000000,0.000000,0.000000,0,11.990001,0.000000,0.349900,0.090000,0.180000,0.000400
0.032000,9.997314,-0.501132,10.037604,-0.708262,-6.000000,-6.000000,-3.467104,-3.467104,16.799799,0.000000,0.000000,0.000000,0.000000,0,11.990005,0.000000,0.349900,0.090000,0.180000,0.000400
0.036000,9.994543,-0.692621,10.010520,-0.939140,-6.000000,-6.000000,-3.765092,-3.765092,16.799761,0.000000,0.000000,0.000000,0.000000,0,11.990010,0.000000,0.349900,0.090000,0.180000,0.000400
0.040000,9.990943,-0.900150,9.980916,-1.141736,-6.000000,-6.000000,-4.028022,-4.028022,16.799720,0.000000,0.000000,0.000000,0.000000,0,11.990018,0.000000,0.349900,0.090000,0.180000,0.000400
0.044000,9.986458,-1.121254,9.951489,-1.314474,-6.000000,-6.000000,-4.260019,-4.260019,16.799678,0.000000,0.000000,0.000000,0.000000,0,11.990026,0.000000,0.349900,0.090000,0.180000,0.000400
0.048000,9.981043,-1.353769,9.924831,-1.463883,-6.000000,-6.000000,-4.464723,-4.464723,16.799635,0.000000,0.000000,0.000000,0.000000,0,11.990037,0.000000,0.349900,0.090000,0.180000,0.000400
0.052000,9.974660,-1.595793,9.903152,-1.603004,-6.000000,-6.000000,-4.645344,-4.645344,16.799589,0.000000,0.000000,0.000000,0.000000,0,11.990049,0.000001,0.349901,0.090000,0.180000,0.000400
0.056000,9.967277,-1.845659,9.888040,-1.748671,-6.000000,-6.000000,-4.804715,-4.804715,16.799543,0.000000,0.000000,0.000000,0.000000,0,11.990064,0.000001,0.349901,0.090000,0.180000,0.000400
0.060000,9.958869,-2.101905,9.880286,-1.918155,-6.000000,-6.000000,-4.945337,-4.945337,16.799495,0.000000,0.000000,0.000000,0.000000,0,11.990081,0.000001,0.349901,0.090000,0.180000,0.000400
0.064000,9.949416,-2.363250,9.879802,-2.125774,-6.000000,-6.000000,-5.069415,-5.069415,16.799447,0.000000,0.000000,0.000000,0.000000,0,11.990100,0.000001,0.349901,0.090000,0.180000,0.000400
0.068000,9.938902,-2.628573,9.885621,-2.380067,-6.000000,-6.000000,-5.178896,-5.178896,16.799397,0.000000,0.000000,0.000000,0.000000,0,11.990121,0.000001,0.349901,0.090000,0.180000,0.000400
0.072000,9.927314,-2.896894,9.896005,-2.682036,-6.000000,-6.000000,-5.275496,-5.275496,16.799347,0.000000,0.000000,0.000000,0.000000,0,11.990144,0.000001,0.349901,0.090000,0.180000,0.000400
0.076000,9.914645,-3.167358,9.908619,-3.024776,-6.000000,-6.000000,-5.360732,-5.360732,16.799296,0.000000,0.000000,0.000000,0.000000,0,11.990169,0.000002,0.349902,0.090000,0.180000,0.000400
0.080000,9.900888,-3.439216,9.920783,-3.394546,-6.000000,-6.000000,-5.435940,-5.435940,16.799245,0.000000,0.000000,0.000000,0.000000,0,11.990196,0.000002,0.349902,0.090000,0.180000,0.000400
0.084000,9.886041,-3.711819,9.929752,-3.773091,-6.000000,-6.000000,-5.502300,-5.502300,16.799193,0.000000,0.000000,0.000000,0.000000,0,11.990226,0.000002,0.349902,0.090000,0.180000,0.000400
0.088000,9.870102,-3.984601,9.933006,-4.140800,-6.000000,-6.000000,-5.560853,-5.560853,16.799140,0.000000,0.000000,0.000000,0.000000,0,11.990257,0.000003,0.349903,0.090000,0.180000,0.000400
0.092000,9.853074,-4.257072,9.928513,-4.480114,-6.000000,-6.000000,-5.612517,-5.612517,16.799087,0.000000,0.000000,0.000000,0.000000,0,11.990291,0.000003,0.349903,0.090000,0.180000,0.000400
0.096000,9.834959,-4.528806,9.914953,-4.778591,-6.000000,-6.000000,-5.658103,-5.658103,16.799034,0.000000,0.000000,0.000000,0.000000,0,11.990326,0.000003,0.349903,0.090000,0.180000,0.000400
0.100000,9.815761,-4.799436,9.891846,-5.031056,-6.000000,-6.000000,-5.698327,-5.698327,16.798981,0.000000,0.000000,0.000000,0.000000,0,11.990364,0.000004,0.349904,0.090000,0.180000,0.000400
0.104000,9.795487,-5.068646,9.859612,-5.240459,-6.000000,-6.000000,-5.733818,-5.733818,16.798927,0.000000,0.000000,0.000000,0.000000,0,11.990404,0.000004,0.349904,0.090000,0.180000,0.000400
0.108000,9.774142,-5.336164,9.819523,-5.417280,-6.000000,-6.000000,-5.765133,-5.765133,16.798873,0.000000,0.000000,0.000000,0.000000,0,11.990446,0.000004,0.349904,0.090000,0.180000,0.000400
0.112000,9.751735,-5.601760,9.773571,-5.577594,-6.000000,-6.000000,-5.792765,-5.792765,16.798818,0.000000,0.000000,0.000000,0.000000,0,11.990490,0.000005,0.349905,0.090000,0.180000,0.000400
0.116000,9.728274,-5.865235,9.724254,-5.740133,-6.000000,-6.000000,-5.817145,-5.817145,16.798764,0.000000,0.000000,0.000000,0.000000,0,11.990536,0.000005,0.349905,0.090000,0.180000,0.000400
0.120000,9.703768,-6.126423,9.674318,-5.922876,-6.000000,-6.000000,-5.838657,-5.838657,16.798709,0.000000,0.000000,0.000000,0.000000,0,11.990583,0.000006,0.349906,0.090000,0.180000,0.000400
0.124000,9.678228,-6.385184,9.626463,-6.139788,-6.000000,-6.000000,-5.857639,-5.857639,16.798654,0.000000,0.000000,0.000000,0.000000,0,11.990633,0.000006,0.349906,0.090000,0.180000,0.000400
0.128000,9.651662,-6.641402,9.583060,-6.398276,-6.000000,-6.000000,-5.874387,-5.874387,16.798599,0.000000,0.000000,0.000000,0.000000,0,11.990685,0.000007,0.349907,0.090000,0.180000,0.000400
0.132000,9.624082,-6.894981,9.545901,-6.697836,-6.000000,-6.000000,-5.889165,-5.889165,16.798544,0.000000,0.000000,0.000000,0.000000,0,11.990738,0.000007,0.349907,0.090000,0.180000,0.000400
0.136000,9.595499,-7.145843,9.516010,-7.030123,-6.000000,-6.000000,-5.902205,-5.902205,16.798489,0.000000,0.000000,0.000000,0.000000,0,11.990793,0.000008,0.349908,0.090000,0.180000,0.000400
